year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2ALT1_EN,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75Plus
2022,MDV,Maldives,MV,Male Economic,MV003,Male,Male',MV021,87014 ,124894 ,211908 ,5472 ,6429 ,7110 ,6580 ,7460 ,9125 ,9103 ,9485 ,7041 ,5474 ,4368 ,3296 ,2505 ,1562 ,870 ,1134 ,5631 ,6713 ,7512 ,6680 ,10305 ,19611 ,19333 ,16689 ,11328 ,7116 ,4960 ,3361 ,2356 ,1442 ,840 ,1017 ,11103 ,13142 ,14622 ,13260 ,17765 ,28736 ,28436 ,26174 ,18369 ,12590 ,9328 ,6657 ,4861 ,3004 ,1710 ,2151 
2022,MDV,Maldives,MV,North,MV001,Haa Alif Atoll,North Thiladhunmathe,MV001,7362 ,7949 ,15311 ,659 ,773 ,746 ,364 ,331 ,614 ,855 ,761 ,472 ,365 ,350 ,319 ,289 ,174 ,104 ,186 ,699 ,783 ,822 ,411 ,400 ,722 ,862 ,854 ,494 ,387 ,394 ,308 ,313 ,206 ,115 ,179 ,1358 ,1556 ,1568 ,775 ,731 ,1336 ,1717 ,1615 ,966 ,752 ,744 ,627 ,602 ,380 ,219 ,365 
2022,MDV,Maldives,MV,North,MV001,Haa Dhaal Atoll,South Thiladhunmathe,MV002,11447 ,11396 ,22843 ,990 ,1172 ,1190 ,761 ,706 ,989 ,1225 ,1111 ,763 ,569 ,482 ,476 ,384 ,232 ,177 ,220 ,995 ,1223 ,1333 ,690 ,542 ,1064 ,1275 ,1110 ,741 ,530 ,433 ,368 ,416 ,276 ,153 ,247 ,1985 ,2395 ,2523 ,1451 ,1248 ,2053 ,2500 ,2221 ,1504 ,1099 ,915 ,844 ,800 ,508 ,330 ,467 
2022,MDV,Maldives,MV,North,MV001,Shaviyani Atoll,North Miladhunmadulu,MV003,7082 ,7569 ,14651 ,615 ,699 ,759 ,469 ,362 ,581 ,815 ,672 ,514 ,399 ,326 ,249 ,254 ,132 ,95 ,141 ,654 ,748 ,803 ,420 ,420 ,694 ,896 ,733 ,510 ,414 ,349 ,255 ,241 ,158 ,89 ,185 ,1269 ,1447 ,1562 ,889 ,782 ,1275 ,1711 ,1405 ,1024 ,813 ,675 ,504 ,495 ,290 ,184 ,326 
2022,MDV,Maldives,MV,North Central,MV002,Baa Atoll,South Maalhosmadulu,MV007,5595 ,11575 ,17170 ,437 ,528 ,487 ,320 ,331 ,555 ,634 ,627 ,404 ,298 ,287 ,219 ,195 ,117 ,72 ,84 ,451 ,479 ,551 ,489 ,1005 ,1789 ,1932 ,1666 ,1103 ,706 ,491 ,304 ,261 ,173 ,85 ,90 ,888 ,1007 ,1038 ,809 ,1336 ,2344 ,2566 ,2293 ,1507 ,1004 ,778 ,523 ,456 ,290 ,157 ,174 
2022,MDV,Maldives,MV,North Central,MV002,Lhaviyani Atoll,Faadhippolhu,MV005,4993 ,8278 ,13271 ,354 ,416 ,428 ,289 ,340 ,551 ,604 ,526 ,350 ,236 ,257 ,216 ,223 ,87 ,44 ,72 ,401 ,419 ,414 ,302 ,648 ,1168 ,1397 ,1174 ,762 ,427 ,354 ,255 ,270 ,122 ,65 ,100 ,755 ,835 ,842 ,591 ,988 ,1719 ,2001 ,1700 ,1112 ,663 ,611 ,471 ,493 ,209 ,109 ,172 
2022,MDV,Maldives,MV,North Central,MV002,Noonu Atoll,South Miladhunmadulu,MV004,6592 ,10044 ,16636 ,472 ,636 ,669 ,381 ,399 ,640 ,813 ,632 ,462 ,335 ,319 ,263 ,244 ,127 ,71 ,129 ,507 ,650 ,704 ,443 ,754 ,1414 ,1504 ,1294 ,834 ,550 ,408 ,306 ,291 ,140 ,85 ,160 ,979 ,1286 ,1373 ,824 ,1153 ,2054 ,2317 ,1926 ,1296 ,885 ,727 ,569 ,535 ,267 ,156 ,289 
2022,MDV,Maldives,MV,North Central,MV002,Raa Atoll,North Maalhosmadulu,MV006,9061 ,14191 ,23252 ,793 ,886 ,869 ,525 ,540 ,913 ,1038 ,913 ,596 ,454 ,428 ,318 ,308 ,207 ,108 ,165 ,806 ,971 ,912 ,667 ,1007 ,1902 ,2113 ,1837 ,1229 ,775 ,603 ,424 ,397 ,241 ,92 ,215 ,1599 ,1857 ,1781 ,1192 ,1547 ,2815 ,3151 ,2750 ,1825 ,1229 ,1031 ,742 ,705 ,448 ,200 ,380 
2022,MDV,Maldives,MV,South,MV005,Gaaf Alif Atoll,North Huvadhoo,MV016,4287 ,7304 ,11591 ,397 ,367 ,383 ,295 ,237 ,395 ,455 ,395 ,332 ,222 ,186 ,178 ,143 ,115 ,76 ,111 ,399 ,434 ,406 ,342 ,549 ,993 ,1081 ,1003 ,642 ,393 ,308 ,212 ,176 ,158 ,53 ,155 ,796 ,801 ,789 ,637 ,786 ,1388 ,1536 ,1398 ,974 ,615 ,494 ,390 ,319 ,273 ,129 ,266 
2022,MDV,Maldives,MV,South,MV005,Gaaf Dhaal Atoll,South Huvadhoo,MV017,6049 ,7380 ,13429 ,498 ,574 ,625 ,428 ,317 ,465 ,627 ,565 ,409 ,354 ,297 ,201 ,216 ,158 ,124 ,191 ,493 ,620 ,718 ,431 ,426 ,768 ,916 ,790 ,518 ,388 ,316 ,230 ,244 ,159 ,124 ,239 ,991 ,1194 ,1343 ,859 ,743 ,1233 ,1543 ,1355 ,927 ,742 ,613 ,431 ,460 ,317 ,248 ,430 
2022,MDV,Maldives,MV,South,MV005,Gnaviyani Atoll,Foammulah,MV018,4267 ,4910 ,9177 ,376 ,423 ,390 ,346 ,264 ,293 ,370 ,388 ,285 ,244 ,205 ,174 ,183 ,91 ,87 ,148 ,343 ,409 ,436 ,280 ,287 ,546 ,549 ,542 ,341 ,220 ,194 ,205 ,184 ,118 ,82 ,174 ,719 ,832 ,826 ,626 ,551 ,839 ,919 ,930 ,626 ,464 ,399 ,379 ,367 ,209 ,169 ,322 
2022,MDV,Maldives,MV,South,MV005,Seenu Atoll,Addoo,MV019,10996 ,14813 ,25809 ,750 ,932 ,976 ,793 ,600 ,799 ,960 ,1040 ,700 ,722 ,717 ,616 ,470 ,295 ,199 ,427 ,806 ,948 ,1077 ,808 ,981 ,1818 ,2075 ,1754 ,1164 ,817 ,682 ,560 ,431 ,277 ,215 ,400 ,1556 ,1880 ,2053 ,1601 ,1581 ,2617 ,3035 ,2794 ,1864 ,1539 ,1399 ,1176 ,901 ,572 ,414 ,827 
2022,MDV,Maldives,MV,South Central,MV004,Alif Dhekunu Buri,South Ari,MV020,4979 ,10841 ,15820 ,403 ,494 ,439 ,287 ,312 ,506 ,627 ,518 ,334 ,261 ,236 ,165 ,172 ,111 ,44 ,70 ,405 ,536 ,523 ,342 ,844 ,1711 ,1919 ,1640 ,1062 ,647 ,445 ,265 ,208 ,138 ,62 ,94 ,808 ,1030 ,962 ,629 ,1156 ,2217 ,2546 ,2158 ,1396 ,908 ,681 ,430 ,380 ,249 ,106 ,164 
2022,MDV,Maldives,MV,South Central,MV004,Alif Uthuru Buri,North Ari,MV008,3733 ,7216 ,10949 ,305 ,399 ,396 ,232 ,234 ,337 ,448 ,409 ,260 ,203 ,170 ,92 ,97 ,71 ,36 ,44 ,336 ,407 ,444 ,303 ,581 ,1078 ,1141 ,1010 ,711 ,420 ,273 ,177 ,141 ,94 ,46 ,54 ,641 ,806 ,840 ,535 ,815 ,1415 ,1589 ,1419 ,971 ,623 ,443 ,269 ,238 ,165 ,82 ,98 
2022,MDV,Maldives,MV,South Central,MV004,Dhaal Atoll,South Nilandhoo,MV012,3400 ,6278 ,9678 ,252 ,301 ,351 ,213 ,212 ,336 ,397 ,376 ,232 ,175 ,158 ,140 ,121 ,54 ,29 ,53 ,248 ,319 ,346 ,248 ,523 ,973 ,1006 ,900 ,597 ,358 ,268 ,174 ,146 ,82 ,42 ,48 ,500 ,620 ,697 ,461 ,735 ,1309 ,1403 ,1276 ,829 ,533 ,426 ,314 ,267 ,136 ,71 ,101 
2022,MDV,Maldives,MV,South Central,MV004,Faafu Atoll,North Nilandhoo,MV011,2405 ,2718 ,5123 ,228 ,275 ,265 ,165 ,100 ,186 ,273 ,246 ,165 ,94 ,116 ,98 ,89 ,36 ,29 ,40 ,270 ,331 ,288 ,179 ,113 ,240 ,299 ,289 ,192 ,140 ,95 ,75 ,86 ,48 ,34 ,39 ,498 ,606 ,553 ,344 ,213 ,426 ,572 ,535 ,357 ,234 ,211 ,173 ,175 ,84 ,63 ,79 
2022,MDV,Maldives,MV,South Central,MV004,Kaafu Atoll,Male',MV009,8265 ,34980 ,43245 ,530 ,627 ,585 ,397 ,783 ,1184 ,1179 ,906 ,592 ,412 ,358 ,244 ,210 ,111 ,51 ,96 ,614 ,708 ,662 ,856 ,3672 ,6861 ,7031 ,5739 ,3825 ,2215 ,1342 ,705 ,397 ,169 ,61 ,123 ,1144 ,1335 ,1247 ,1253 ,4455 ,8045 ,8210 ,6645 ,4417 ,2627 ,1700 ,949 ,607 ,280 ,112 ,219 
2022,MDV,Maldives,MV,South Central,MV004,Laamu Atoll,Hadhdhunmathee,MV015,7324 ,8579 ,15903 ,654 ,729 ,678 ,489 ,402 ,738 ,774 ,722 ,505 ,368 ,299 ,312 ,275 ,131 ,85 ,163 ,650 ,747 ,769 ,520 ,492 ,942 ,1047 ,901 ,682 ,417 ,383 ,322 ,274 ,173 ,101 ,159 ,1304 ,1476 ,1447 ,1009 ,894 ,1680 ,1821 ,1623 ,1187 ,785 ,682 ,634 ,549 ,304 ,186 ,322 
2022,MDV,Maldives,MV,South Central,MV004,Meemu Atoll,Mulaku,MV013,2578 ,3507 ,6085 ,219 ,228 ,243 ,153 ,88 ,197 ,292 ,265 ,200 ,145 ,127 ,157 ,97 ,61 ,32 ,74 ,210 ,265 ,267 ,138 ,197 ,415 ,444 ,412 ,275 ,215 ,177 ,156 ,149 ,90 ,35 ,62 ,429 ,493 ,510 ,291 ,285 ,612 ,736 ,677 ,475 ,360 ,304 ,313 ,246 ,151 ,67 ,136 
2022,MDV,Maldives,MV,South Central,MV004,Thaa Atoll,Kolhumadulu,MV014,4893 ,5643 ,10536 ,421 ,498 ,540 ,275 ,212 ,340 ,523 ,539 ,345 ,235 ,256 ,216 ,197 ,125 ,50 ,121 ,446 ,522 ,562 ,301 ,311 ,492 ,608 ,661 ,439 ,307 ,242 ,218 ,232 ,113 ,63 ,126 ,867 ,1020 ,1102 ,576 ,523 ,832 ,1131 ,1200 ,784 ,542 ,498 ,434 ,429 ,238 ,113 ,247 
2022,MDV,Maldives,MV,South Central,MV004,Vaavu Atoll,Felidhoo,MV010,810 ,1927 ,2737 ,60 ,79 ,71 ,28 ,39 ,77 ,97 ,92 ,47 ,54 ,40 ,37 ,44 ,16 ,7 ,22 ,68 ,84 ,59 ,47 ,158 ,321 ,324 ,301 ,196 ,112 ,80 ,61 ,50 ,29 ,12 ,25 ,128 ,163 ,130 ,75 ,197 ,398 ,421 ,393 ,243 ,166 ,120 ,98 ,94 ,45 ,19 ,47 
